Rank,School Name,Annual ROI,Total 4 Year Cost,Graduation Rate,Typical Years to Graduate,Average Loan Amount
796,"Westminster College - Salt Lake City, UT(Private)",4.9,171000,60,4,29100
834,Amherst College(Private),4.8,251000,94,4,26000
834,Aurora University(Private),4.8,134000,58,4,24500
834,Boston University(Private),4.8,250000,85,4,40900
834,Colorado Christian University(Private),4.8,157000,42,4,32700
834,Coppin State University (CSU)(Out-of-State),4.8,99500,18,5,23500
834,Dowling College(Private),4.8,176000,35,5,28400
834,Duquesne University(Private),4.8,182000,78,4,38300
834,East Stroudsburg University (ESU)(In-State),4.8,86000,56,5,35600
834,Emory University(Private),4.8,242000,89,4,28300
834,Georgia College & State University (GCSU)(In-State),4.8,98400,61,4,24300
834,Georgia Southwestern State University(In-State),4.8,77500,32,5,24900
834,John Brown University(Private),4.8,141000,61,4,26200
834,Laguna College of Art and Design(Private),4.8,175000,45,5,22100
834,Lewis-Clark State College(Out-of-State),4.8,115000,27,5,21300
834,North Carolina Wesleyan College (NCWC)(Private),4.8,154000,35,5,28600
834,Northwest University(Private),4.8,148000,53,4,34900
834,Pittsburg State University(Out-of-State),4.8,110000,50,5,23200
834,Pomona College(Private),4.8,244000,93,4,20300
834,Southern Utah University(Out-of-State),4.8,125000,50,6,21400
834,Southwestern Adventist University(Private),4.8,120000,40,4,24300
834,University of Illinois at Springfield(In-State),4.8,94000,49,4,25000
834,University of Maryland - Eastern Shore Campus(Out-of-State),4.8,121000,37,5,21800
834,University of North Florida (UNF)(Out-of-State),4.8,141000,55,5,24400
857,Adelphi University(Private),4.7,194000,64,4,33300
857,Barry University(Private),4.7,178000,36,5,30000
857,Bloomsburg University of Pennsylvania(Out-of-State),4.7,130000,65,4,29100
857,"Bowling Green State University - Bowling Green, OH(Out-of-State)",4.7,124000,55,5,28900
857,Coastal Carolina University(In-State),4.7,93100,45,5,35100
857,College of Saint Elizabeth(Private),4.7,190000,50,4,32000
857,Fort Hays State University (FHSU)(Out-of-State),4.7,102000,43,5,22200
857,Langston University(Out-of-State),4.7,95700,4,4,30700
857,Menlo College(Private),4.7,217000,43,4,27700
857,North Carolina Central University(In-State),4.7,75400,47,5,30000
857,Northeastern State University(Out-of-State),4.7,87400,31,5,19000
857,Northern Arizona University (NAU)(Out-of-State),4.7,133000,52,5,25000
857,Oklahoma Wesleyan University (OWU)(Private),4.7,140000,37,4,25900
857,Rosemont College(Private),4.7,188000,43,4,27800
857,Saint Peters College(Private),4.7,194000,53,4,27400
857,Tennessee State University(Out-of-State),4.7,124000,42,5,26600
857,Trevecca Nazarene University(Private),4.7,137000,51,4,26800
857,University of Central Arkansas(Out-of-State),4.7,100000,45,5,26700
857,University of Central Florida (UCF)(Out-of-State),4.7,149000,70,5,22800
857,University of Central Oklahoma (UCO)(Out-of-State),4.7,104000,37,5,25000
857,University of Northern Iowa(Out-of-State),4.7,118000,64,5,22700
857,University of Texas - Pan American (UTPA)(Out-of-State),4.7,104000,43,5,15300
857,University of Wisconsin (UW) - Green Bay Campus(In-State),4.7,72800,51,5,26100
880,Arkansas State University (ASU)(Out-of-State),4.6,105000,39,5,22300
880,Brandeis University(Private),4.6,249000,91,4,28300
880,Colorado State University (CSU) - Pueblo Campus(Out-of-State),4.6,131000,32,5,21500
880,Hampden-Sydney College(Private),4.6,213000,67,4,30400
880,Indiana State University(Out-of-State),4.6,122000,40,5,27300
880,La Sierra University(Private),4.6,168000,50,5,27500
880,Merrimack College(Private),4.6,203000,68,4,44400
880,Minnesota State University - Moorhead Campus(Out-of-State),4.6,104000,42,5,35800
880,Mississippi College(Private),4.6,112000,54,4,23200
880,Northern Michigan University(In-State),4.6,82000,48,5,24800
880,Norwich University(Private),4.6,201000,58,4,33600
880,Nova Southeastern University(Private),4.6,175000,46,4,33600
880,Oglethorpe University(Private),4.6,189000,51,4,30700
880,Ohio Northern University (ONU)(Private),4.6,187000,69,4,35300
880,Providence College(Private),4.6,234000,86,4,40000
880,Rhode Island College(Out-of-State),4.6,125000,43,5,25400
880,Rutgers University - Camden Campus(Out-of-State),4.6,172000,53,5,26400
880,"Sacred Heart University - Fairfield, CT(Private)",4.6,215000,67,4,38700
880,Seattle University(Private),4.6,214000,78,4,28500
880,Southern Illinois University (SIU) - Carbondale Campus(Out-of-State),4.6,154000,44,5,29500
880,Southern Oregon University(In-State),4.6,89200,40,5,24700
880,"St. John's University - Queens, NY(Private)",4.6,227000,59,4,30200
880,Syracuse University(Private),4.6,234000,80,4,35900
880,Texas Christian University (TCU)(Private),4.6,211000,75,4,50800
880,"Trine University - Angola, IN(Private)",4.6,183000,54,5,31700
880,University of Arkansas - Fort Smith Campus(Out-of-State),4.6,90200,26,5,14600
880,University of Redlands(Private),4.6,238000,69,4,30500
880,University of Rochester(Private),4.6,249000,84,4,27700
880,Viterbo University(Private),4.6,140000,48,5,27400
880,Wagner College(Private),4.6,220000,66,4,37000
910,"Assumption College - Worcester, MA(Private)",4.5,196000,70,4,35800
910,California College of the Arts(Private),4.5,229000,54,5,27500
910,College of Mount Saint Vincent(Private),4.5,169000,57,4,31100
910,"Concordia College - Bronxville, NY(Private)",4.5,167000,48,4,28500
910,"Dominican University - River Forest, IL(Private)",4.5,162000,63,4,24400
910,Eastern Connecticut State University(Out-of-State),4.5,144000,56,4,29300
910,Edgewood College(Private),4.5,151000,62,5,29600
910,"Fairleigh Dickinson University (FDU) - Madison, NJ(Private)",4.5,219000,56,4,39000
910,Fordham University(Private),4.5,257000,80,4,33500
910,Haverford College(Private),4.5,252000,94,4,23400
910,Houston Baptist University(Private),4.5,161000,45,5,27800
910,Lake Forest College(Private),4.5,211000,73,4,28800
910,"Lake Superior State University - Sault Ste Marie, MI(Out-of-State)",4.5,108000,46,5,22000
910,Lindenwood University(Private),4.5,125000,50,5,23700
910,Mayville State University(Out-of-State),4.5,76200,42,5,27800
910,New Mexico Highlands University(Out-of-State),4.5,76100,17,5,20300
910,Portland State University (PSU)(Out-of-State),4.5,155000,42,5,25600
910,Saginaw Valley State University (SVSU)(Out-of-State),4.5,124000,40,5,30000
910,Shawnee State University(Out-of-State),4.5,107000,31,5,30100
910,"St. Mary's University - San Antonio, TX(Private)",4.5,155000,63,4,32900
910,The Richard Stockton College of New Jersey(Out-of-State),4.5,142000,67,4,35100
910,The University of Tennessee at Martin (UT Martin)(In-State),4.5,75000,47,5,22200
910,University of Michigan - Flint Campus(Out-of-State),4.5,129000,34,5,25500
910,University of Mississippi(Out-of-State),4.5,136000,61,5,30300
910,University of San Diego (USD)(Private),4.5,236000,77,4,30100
910,West Chester University(Out-of-State),4.5,145000,67,4,33500
910,Western Oregon University(In-State),4.5,90700,47,5,26600
937,Belmont Abbey College(Private),4.4,138000,38,4,17500
937,Bowdoin College(Private),4.4,243000,93,4,22900
937,California Lutheran University (CLU)(Private),4.4,214000,66,4,31800
937,California University of Pennsylvania (Cal U)(In-State),4.4,99700,53,4,29200
937,Calvin College(Private),4.4,167000,74,4,34100
937,Chicago State University (CSU)(In-State),4.4,94100,19,6,27900
937,Christopher Newport University(Out-of-State),4.4,146000,68,4,29500
937,College of St Joseph(Private),4.4,137000,47,5,28200
937,Georgia Southern University(Out-of-State),4.4,131000,51,5,24700
937,Georgia State University(Out-of-State),4.4,158000,53,5,22400
937,Grand Valley State University(Out-of-State),4.4,106000,65,5,26100
937,Jamestown College(Private),4.4,117000,49,5,30300
937,"Lakeland College - Plymouth, WI(Private)",4.4,143000,53,4,23600
937,Mercy College(Private),4.4,139000,29,5,24800
937,Mount Olive College(Private),4.4,113000,43,4,25800
937,Nichols College(Private),4.4,188000,48,4,34300
937,Plymouth State University(In-State),4.4,106000,58,4,35200
937,SUNY - College at Oneonta(Out-of-State),4.4,126000,73,4,24600
937,SUNY - Purchase College(Out-of-State),4.4,136000,67,4,26100
937,Siena Heights University(Private),4.4,137000,51,5,28100
937,Slippery Rock University(Out-of-State),4.4,104000,67,4,30600
937,Trinity College(Private),4.4,253000,84,4,26800
937,University of Alabama - Birmingham Campus(Out-of-State),4.4,131000,56,5,27000
937,University of Alabama - Main Campus(Out-of-State),4.4,168000,66,5,36800
937,University of Chicago(Private),4.4,265000,93,4,26400
937,University of Nebraska at Kearney(In-State),4.4,81400,56,5,22000
937,University of North Carolina at Chapel Hill (UNC)(Out-of-State),4.4,190000,90,4,26600
937,University of Scranton(Private),4.4,223000,80,4,38600
937,University of Wisconsin (UW) - River Falls Campus(Out-of-State),4.4,103000,54,5,27200
937,Warner University(Private),4.4,121000,38,5,31900
937,"Wayne State College - Wayne, NE(In-State)",4.4,63000,49,5,21600
937,William Carey University(Private),4.4,102000,58,4,19500
969,Caldwell College(Private),4.3,179000,62,4,30500
969,Colby College(Private),4.3,241000,90,4,30600
969,Creighton University(Private),4.3,195000,78,4,31000
969,DePauw University(Private),4.3,219000,80,4,31000
969,Eastern Kentucky University(Out-of-State),4.3,115000,42,5,24100
969,Florida Agricultural and Mechanical (A&M) University (FAMU)(Out-of-State),4.3,127000,40,5,26200
969,Graceland University(Private),4.3,145000,54,4,43600
969,John Carroll University(Private),4.3,197000,71,4,29800
969,Keene State College(Out-of-State),4.3,131000,63,4,38300
969,Kutztown University of Pennsylvania(In-State),4.3,93600,55,4,33500
969,Lewis University(Private),4.3,160000,62,4,31600
969,Middlebury College(Private),4.3,243000,94,4,25300
969,Mississippi University for Women(In-State),4.3,68500,39,5,22400
969,"Monmouth University - West Long Branch, NJ(Private)",4.3,189000,67,4,41800
969,Morehouse College(Private),4.3,188000,53,4,33400
969,Northern State University(In-State),4.3,76700,44,5,27200
969,Quinnipiac University(Private),4.3,226000,76,4,45700
969,Saint Anselm College(Private),4.3,205000,75,4,37900
969,"Saint Joseph's University (SJU) - Philadelphia, PA(Private)",4.3,224000,73,4,40000
969,Southern Arkansas University - Main Campus(In-State),4.3,79300,31,5,22000
969,Southwest Minnesota State University (SMSU)(In-State),4.3,79000,43,5,30000
969,Southwest Minnesota State University (SMSU)(Out-of-State),4.3,79000,43,5,30000
969,Texas A&M University - Texarkana Campus(Out-of-State),4.3,106000,N/A,N/A,21000
969,The College of Saint Scholastica(Private),4.3,175000,61,4,39600
969,University of Louisville(Out-of-State),4.3,150000,54,4,25200
969,University of Maine at Fort Kent (UMFK)(In-State),4.3,75200,50,5,24800
969,University of Saint Mary(Private),4.3,140000,35,4,24300
969,Valparaiso University(Private),4.3,187000,67,4,29700
969,Walsh University - Ohio(Private),4.3,158000,55,5,32700
969,Western Illinois University(Out-of-State),4.3,117000,54,5,31800
969,William Jewell College(Private),4.3,177000,60,4,29400
1000,Alfred University(Private),4.2,164000,55,4,32900
1000,Bates College(Private),4.2,248000,88,4,23600
1000,"Cameron University - Lawton, OK(Out-of-State)",4.2,92000,24,5,22200
1000,"Concordia University - Mequon, WI(Private)",4.2,157000,61,5,31400
1000,Davenport University(Private),4.2,109000,40,5,36300
1000,Eastern Washington University(Out-of-State),4.2,137000,46,5,24100
1000,Elizabethtown College(Private),4.2,203000,69,4,34500
1000,Gettysburg College(Private),4.2,237000,84,4,19200
1000,Indiana University-Purdue University - Indianapolis (IUPUI)(Out-of-State),4.2,173000,43,5,25700
1000,Jacksonville State University (JSU)(Out-of-State),4.2,109000,30,5,28000
1000,Lincoln University of Pennsylvania(Out-of-State),4.2,115000,41,5,32200
1000,Marietta College(Private),4.2,181000,63,4,36900
1000,Millersville University of Pennsylvania(Out-of-State),4.2,136000,64,5,31400
1000,"Mount St. Mary's College - Los Angeles, CA(Private)",4.2,208000,65,4,29000
1000,Neumann University(Private),4.2,161000,55,5,38100
1000,"North Central College - Naperville, IL(Private)",4.2,183000,63,4,32100
1000,Pepperdine University(Private),4.2,250000,84,4,28400
1000,Radford University(Out-of-State),4.2,133000,59,4,29400
1000,"Robert Morris University (RMU) - Moon Township, PA(Private)",4.2,166000,62,4,34800
1000,Saint Louis University (SLU)(Private),4.2,217000,72,4,31300
1000,Shepherd University(Out-of-State),4.2,117000,40,5,35200
1000,Southern Methodist University (SMU)(Private),4.2,251000,77,4,36000
1000,"St. Francis College - Brooklyn Heights, NY(Private)",4.2,164000,55,5,23000
1000,Tulane University(Private),4.2,248000,83,4,36800
1000,University of New Haven(Private),4.2,204000,50,4,47000
1000,University of Northern Colorado(Out-of-State),4.2,130000,46,5,24500
1000,University of Portland(Private),4.2,220000,80,4,28000
1000,Upper Iowa University(Private),4.2,151000,38,5,23700
1000,Valley City State University(In-State),4.2,68500,48,5,25200
1000,Widener University - Main Campus(Private),4.2,222000,53,4,44400
1030,"Bethel University - McKenzie, TN(Private)",4.1,118000,36,5,27100
1030,Butler University(Private),4.1,201000,78,4,35600
1030,Cabrini College(Private),4.1,182000,50,4,38600
1030,Chadron State College(In-State),4.1,68200,36,5,20200
1030,Clarion University of Pennsylvania(Out-of-State),4.1,108000,50,5,31600
1030,Elms College(Private),4.1,181000,78,4,33200
1030,Elon University(Private),4.1,178000,81,4,34400
1030,Fairmont State University(Out-of-State),4.1,96900,33,5,22800
1030,Friends University(Private),4.1,147000,34,5,27600
1030,Limestone College(Private),4.1,148000,28,5,38300
1030,"Marian University - Indianapolis, IN(Private)",4.1,170000,54,5,28700
1030,Mesa State College(Out-of-State),4.1,123000,33,5,33200
1030,Nyack College(Private),4.1,149000,42,5,29900
1030,Simmons College(Private),4.1,213000,67,4,36000
1030,Southern New Hampshire University(Private),4.1,177000,50,4,33300
1030,St. Mary's College of Maryland(Out-of-State),4.1,173000,81,4,22500
1030,St. Thomas Aquinas College(Private),4.1,168000,57,4,27600
1030,"Taylor University - Upland, IN(Private)",4.1,161000,74,4,28600
1030,University of La Verne(Private),4.1,212000,59,4,33200
1030,University of Maine at Orono(Out-of-State),4.1,164000,60,5,32900
1030,University of Pittsburgh - Johnstown Campus(Out-of-State),4.1,146000,51,5,32700
1030,University of Wisconsin (UW) - Stevens Point Campus(Out-of-State),4.1,99000,60,5,24000
1030,Western State Colorado University(In-State),4.1,82100,36,5,28400
1053,Baylor University(Private),4,214000,72,4,47000
1053,Central Michigan University(Out-of-State),4,138000,56,5,27800
1053,Eastern Oregon University(Out-of-State),4,123000,34,5,25000
1053,Geneva College(Private),4,146000,65,4,35700
1053,Grand View University (GVU)(Private),4,137000,47,5,31300
1053,Indiana University-Purdue University - Fort Wayne (IPFW)(Out-of-State),4,134000,26,5,23700
1053,Lipscomb University(Private),4,165000,62,4,28600
1053,McKendree University(Private),4,156000,56,5,26800
1053,Missouri Western State University(Out-of-State),4,95300,36,5,24300
1053,Montana State University - Northern Campus(Out-of-State),4,116000,26,5,19100
1053,Norfolk State University(In-State),4,87300,33,5,31300
1053,Otis College of Art and Design(Private),4,225000,63,4,30200
1053,Point Loma Nazarene University(Private),4,181000,73,4,30500
1053,Roger Williams University(Private),4,199000,62,4,45900
1053,SUNY - College at Cortland(In-State),4,91800,67,4,28300
1053,SUNY - College of Agriculture and Technology at Cobleskill(In-State),4,92300,36,4,26700
1053,Siena College(Private),4,192000,80,4,29100
1053,Southwestern University(Private),4,195000,73,4,35000
1053,University of Arkansas - Little Rock Campus(Out-of-State),4,129000,27,5,22600
1053,University of South Florida - St. Petersburg Campus(Out-of-State),4,123000,32,5,35300
1053,Valdosta State University (VSU)(In-State),4,81900,39,5,20200
1053,Western Kentucky University(Out-of-State),4,131000,44,5,25300
1053,Winthrop University(In-State),4,103000,51,4,30300
1076,Adams State College(In-State),3.9,80400,21,5,25500
1076,Austin College(Private),3.9,192000,76,4,31000
1076,Azusa Pacific University(Private),3.9,186000,67,4,27200
1076,Columbus State University(Out-of-State),3.9,120000,32,5,24500
1076,Dominican University of California(Private),3.9,237000,62,4,39800
1076,East Carolina University (ECU)(Out-of-State),3.9,141000,59,5,28300
1076,East Tennessee State University (ETSU)(In-State),3.9,94200,43,5,22700
1076,Eastern Michigan University(Out-of-State),3.9,148000,37,5,26300
1076,"Emmanuel College - Boston, MA(Private)",3.9,208000,64,4,38300
1076,Fontbonne University(Private),3.9,140000,48,5,25800
1076,Francis Marion University(In-State),3.9,86400,41,5,27800
1076,Gannon University(Private),3.9,170000,66,4,34200
1076,Humboldt State University(Out-of-State),3.9,137000,44,5,22700
1076,Manhattanville College(Private),3.9,210000,61,4,28300
1076,Midamerica Nazarene University(Private),3.9,140000,50,4,27300
1076,"Oakland City University - Oakland City, IN(Private)",3.9,134000,60,5,26700
1076,Olivet Nazarene University(Private),3.9,169000,56,4,29200
1076,Pacific Lutheran University(Private),3.9,197000,68,4,30100
1076,SUNY - New Paltz(Out-of-State),3.9,125000,74,4,24600
1076,St. Xavier University(Private),3.9,170000,54,5,28400
1076,Thomas College(Private),3.9,144000,43,5,34100
1076,University of California - Riverside (UCR)(Out-of-State),3.9,223000,69,5,22900
1076,University of Hawaii at Hilo(In-State),3.9,74800,38,5,27900
1076,University of Memphis (U of M)(Out-of-State),3.9,147000,44,5,22300
1076,University of North Alabama (UNA)(Out-of-State),3.9,92000,39,5,17900
1076,University of South Carolina - Upstate Campus(Out-of-State),3.9,132000,38,5,24400
1076,University of Southern Mississippi (USM)(Out-of-State),3.9,114000,48,5,27800
1076,University of Vermont (UVM)(Out-of-State),3.9,203000,76,4,33100
1076,Westmont College(Private),3.9,218000,78,4,29400
1105,Augsburg College(Private),3.8,185000,63,4,43100
1105,"Bethel University - Saint Paul, MN(Private)",3.8,181000,74,4,37500
1105,Biola University(Private),3.8,190000,69,4,33200
1105,Chadron State College(Out-of-State),3.8,72600,36,5,20200
1105,College of Charleston(In-State),3.8,107000,67,4,27100
1105,Concord University(In-State),3.8,72500,34,5,21900
1105,"Concordia University - Irvine, CA(Private)",3.8,177000,56,4,28700
1105,Daemen College(Private),3.8,154000,47,5,32200
1105,Delaware State University(Out-of-State),3.8,121000,43,5,29800
1105,Franklin and Marshall College(Private),3.8,248000,87,4,20300
1105,Fresno Pacific University(Private),3.8,151000,63,4,31000
1105,George Fox University(Private),3.8,178000,65,4,31200
1105,Hartwick College(Private),3.8,206000,57,4,39600
1105,Illinois Wesleyan University (IWU)(Private),3.8,206000,81,4,32800
1105,Madonna University(Private),3.8,115000,50,5,25100
1105,Montreat College(Private),3.8,141000,37,4,24300
1105,Moravian College and Moravian Theological Seminary(Private),3.8,202000,69,4,35700
1105,Muhlenberg College(Private),3.8,226000,86,4,29200
1105,Nicholls State University(Out-of-State),3.8,118000,40,5,20400
1105,Northwestern State University(Out-of-State),3.8,116000,38,5,23500
1105,Pennsylvania State University (Penn State) - Altoona Campus(Out-of-State),3.8,153000,65,4,34000
1105,Queens University of Charlotte(Private),3.8,181000,62,4,27500
1105,Rider University(Private),3.8,210000,63,4,43900
1105,SUNY - College at Buffalo(In-State),3.8,88200,45,5,26400
1105,SUNY - College at Oswego(Out-of-State),3.8,127000,63,4,28000
1105,"Saint Joseph College (SJC) - West Hartford, CT(Private)",3.8,202000,51,4,34400
1105,Saint Norbert College(Private),3.8,171000,70,4,30600
1105,Spalding University(Private),3.8,146000,38,5,20000
1105,"St. Thomas University - Miami, FL(Private)",3.8,164000,33,5,42000
1105,University of California - Santa Cruz (UCSC)(Out-of-State),3.8,229000,77,4,23400
1105,University of Missouri - St. Louis Campus(Out-of-State),3.8,152000,42,5,20100
1105,University of Mount Union(Private),3.8,158000,63,4,37900
1105,University of Oregon(Out-of-State),3.8,179000,69,4,28900
1105,University of Southern Indiana(Out-of-State),3.8,112000,41,5,28600
1105,Urbana University(Private),3.8,129000,36,4,29100
1105,Vanguard University of Southern California(Private),3.8,173000,55,4,29400
1105,Western Carolina University(Out-of-State),3.8,115000,58,4,24200
1105,"Wheaton College - Wheaton, IL(Private)",3.8,173000,89,4,28000
1105,Xavier University(Private),3.8,188000,71,4,33700
1144,Armstrong Atlantic State University (AASU)(Out-of-State),3.7,135000,30,5,22800
1144,Bloomfield College(Private),3.7,166000,32,5,28900
1144,College for Creative Studies(Private),3.7,205000,62,5,38700
1144,Connecticut College(Private),3.7,247000,83,4,24700
1144,DeSales University(Private),3.7,193000,71,4,43100
1144,Fisher College(Private),3.7,189000,32,4,32300
1144,Henderson State University(In-State),3.7,77000,36,5,22300
1144,Kent State University (KSU)(Out-of-State),3.7,133000,55,5,30200
1144,Keuka College(Private),3.7,175000,47,4,40600
1144,"Lincoln University - Jefferson City, MO(In-State)",3.7,66600,25,5,27200
1144,Loras College(Private),3.7,157000,64,4,29900
1144,Mansfield University of Pennsylvania(In-State),3.7,95100,53,4,33700
1144,Misericordia University(Private),3.7,170000,71,4,40700
1144,Northern State University(Out-of-State),3.7,85600,44,5,27200
1144,Our Lady of the Lake University (OLLU)(Private),3.7,149000,38,5,30100
1144,Roberts Wesleyan College(Private),3.7,165000,63,4,31600
1144,Seattle Pacific University (SPU)(Private),3.7,194000,75,4,30200
1144,Southeast Missouri State University(Out-of-State),3.7,99300,51,5,24800
1144,Southeastern Louisiana University(Out-of-State),3.7,120000,37,5,18700
1144,Southern University at New Orleans(In-State),3.7,65400,12,5,24700
1144,Stephen F. Austin State University (SFA)(Out-of-State),3.7,131000,44,5,28100
1144,Texas Southern University(Out-of-State),3.7,141000,16,5,26600
1144,University of Arkansas - Pine Bluff Campus(In-State),3.7,68200,27,5,24800
1144,University of Denver(Private),3.7,228000,76,4,32800
1144,University of Detroit Mercy (UDM)(Private),3.7,207000,54,4,33300
1144,Ursuline College(Private),3.7,156000,50,5,28800
1144,Wellesley College(Private),3.7,241000,91,4,17700
1171,Brenau University(Private),3.6,158000,47,4,28600
1171,California University of Pennsylvania (Cal U)(Out-of-State),3.6,116000,53,4,29200
1171,Eastern Illinois University(Out-of-State),3.6,149000,59,5,28900
1171,Elmhurst College(Private),3.6,185000,74,4,31100
1171,Glenville State College(In-State),3.6,87000,32,5,24800
1171,Hardin-Simmons University (HSU)(Private),3.6,136000,52,4,38700
1171,Ithaca College(Private),3.6,225000,78,4,23700
1171,Lander University(In-State),3.6,89300,45,5,26700
1171,Lourdes College(Private),3.6,127000,29,5,26000
1171,"Loyola University - Chicago, IL(Private)",3.6,211000,73,4,36600
1171,"Marymount College - Rancho Palos Verdes, CA(Private)",3.6,197000,37,N/A,27200
1171,Pratt Institute(Private),3.6,239000,64,4,33300
1171,SUNY - Fredonia(In-State),3.6,88600,67,4,31600
1171,"Saint Joseph's College - Rensselaer, IN(Private)",3.6,155000,46,4,30300
1171,Southern Connecticut State University (SCSU)(Out-of-State),3.6,139000,53,5,29700
1171,Southern Wesleyan University (SWU)(Private),3.6,138000,49,4,28200
1171,Tabor College(Private),3.6,151000,48,4,26300
1171,University of Findlay(Private),3.6,167000,55,4,40700
1171,University of Miami (UM) - Florida(Private),3.6,245000,81,4,32200
1171,"University of Saint Francis (USF) - Fort Wayne, IN(Private)",3.6,149000,50,5,28500
1171,University of Tennessee(Out-of-State),3.6,185000,69,5,26000
1171,University of Virginia - Wise(In-State),3.6,87500,46,5,21000
1171,Ursinus College(Private),3.6,240000,80,4,32800
1171,"Wesleyan University - Middletown, CT(Private)",3.6,254000,93,4,21300
1171,Wilberforce University(Private),3.6,104000,30,5,37700
1171,Wilkes University(Private),3.6,191000,56,4,43500
1197,American International College(Private),3.5,183000,38,4,34100
1197,"Augustana College - Sioux Falls, SD(Private)",3.5,154000,67,4,36800
1197,Fort Lewis College(Out-of-State),3.5,134000,38,5,25200
1197,Furman University(Private),3.5,233000,84,4,36200
1197,Hastings College(Private),3.5,152000,59,4,25500
1197,Hiram College(Private),3.5,174000,63,4,31500
1197,Indiana University of Pennsylvania (IUP)(Out-of-State),3.5,142000,53,5,33100
1197,Le Moyne College(Private),3.5,182000,72,4,36600
1197,Marshall University(Out-of-State),3.5,110000,44,5,24400
1197,Montana State University - Billings Campus(Out-of-State),3.5,118000,24,6,21200
1197,Mount Vernon Nazarene University (MVNU)(Private),3.5,143000,58,4,32000
1197,North Adams State College(In-State),3.5,87300,52,4,20800
1197,North Carolina School of the Arts (NCSA)(Out-of-State),3.5,145000,59,4,31900
1197,Northern Michigan University(Out-of-State),3.5,103000,48,5,24800
1197,Northwestern Oklahoma State University(Out-of-State),3.5,83900,34,5,16600
1197,Saint Michaels College(Private),3.5,206000,79,4,38800
1197,Sierra Nevada College(Private),3.5,184000,46,5,19600
1197,South Carolina State University(In-State),3.5,109000,38,5,41100
1197,Southern Arkansas University - Main Campus(Out-of-State),3.5,92500,31,5,22000
1197,Sul Ross State University(In-State),3.5,73600,28,5,25500
1197,Trinity Christian College(Private),3.5,151000,58,4,27200
1197,University at Brockport(Out-of-State),3.5,123000,68,4,29500
1197,University of Arkansas - Monticello Campus(Out-of-State),3.5,89700,28,5,19900
1197,University of Hawaii at Manoa(Out-of-State),3.5,173000,56,5,26300
1197,University of Puget Sound(Private),3.5,228000,76,4,32600
1197,University of The Incarnate Word(Private),3.5,162000,43,5,39700
1197,University of Wisconsin (UW) - Superior Campus(Out-of-State),3.5,104000,43,5,25600
1197,West Virginia State University(In-State),3.5,76300,25,6,26600
1197,Woodbury University(Private),3.5,198000,42,6,23200
1226,Albion College(Private),3.4,196000,72,4,39000
1226,Appalachian State University(Out-of-State),3.4,126000,70,5,22200
1226,Barnard College - Columbia University(Private),3.4,250000,89,4,20700
1226,Becker College(Private),3.4,193000,31,5,46800
1226,Brescia University(Private),3.4,123000,26,5,18700
1226,Carleton College(Private),3.4,246000,93,4,19300
1226,"Carroll College - Helena, MT(Private)",3.4,167000,63,4,32700
1226,Chapman University(Private),3.4,244000,74,4,29600
1226,Curry College(Private),3.4,206000,45,4,41500
1226,Denison University(Private),3.4,230000,82,4,38000
1226,Dordt College(Private),3.4,157000,66,4,29700
1226,Eastern University(Private),3.4,173000,61,4,34300
1226,"King College - Bristol, TN(Private)",3.4,154000,54,4,24100
1226,Lincoln Christian University(Private),3.4,106000,57,5,31000
1226,Linfield College(Private),3.4,197000,71,4,32400
1226,McMurry University(Private),3.4,147000,36,5,28900
1226,Messiah College(Private),3.4,174000,80,4,37200
1226,Piedmont College(Private),3.4,137000,50,4,24800
1226,Rhode Island School of Design (RISD)(Private),3.4,249000,87,4,30500
1226,Roosevelt University(Private),3.4,179000,30,5,33300
1226,SUNY - College at Plattsburgh(Out-of-State),3.4,125000,61,4,26100
1226,Saint Joseph's College of Maine(Private),3.4,185000,63,4,38700
1226,Southern University at New Orleans(Out-of-State),3.4,68900,12,5,24700
1226,Suffolk University(Private),3.4,202000,55,4,32700
1226,Susquehanna University(Private),3.4,210000,76,4,26400
1226,Texas Wesleyan University(Private),3.4,145000,40,5,40100
1226,The New School(Private),3.4,246000,60,4,38000
1226,Virginia Commonwealth University (VCU)(Out-of-State),3.4,181000,59,5,31300
1226,"Washington College - Chestertown, MD(Private)",3.4,221000,74,4,28100
1226,William Penn University(Private),3.4,138000,35,5,30200
1226,Wittenberg University(Private),3.4,203000,69,4,33800
1257,Baldwin-Wallace College(Private),3.3,162000,68,4,32700
1257,Belhaven University(Private),3.3,134000,50,4,26500
1257,"Bryan College - Dayton, TN(Private)",3.3,127000,53,4,24900
1257,High Point University(Private),3.3,181000,63,4,37100
1257,Indiana University (IU) - South Bend(Out-of-State),3.3,123000,26,5,20000
1257,Kentucky State University(Out-of-State),3.3,109000,20,5,27100
1257,Massachusetts College of Art and Design(Out-of-State),3.3,182000,70,4,38000
1257,"Mount St. Mary's University - Emmitsburg, MD(Private)",3.3,199000,64,4,36400
1257,North Park University(Private),3.3,143000,53,5,25800
1257,Oklahoma City University(Private),3.3,176000,59,4,27500
1257,Otterbein College(Private),3.3,177000,59,4,34300
1257,Skidmore College(Private),3.3,247000,87,4,24000
1257,University of Evansville(Private),3.3,182000,64,4,30600
1257,University of Illinois at Springfield(Out-of-State),3.3,127000,49,4,25000
1257,University of Mary Hardin-Baylor (UMHB)(Private),3.3,146000,48,5,29100
